Irregular_Large_Impact,Serial_Autocorrelation,Non_Uniform_Seasonality,Sensitivity_to_Future
10.496714153011233,9.814341023336183,9.78967733861732,10.0
13.602909413994857,16.316871229332314,14.048852670964017,10.051282051282051
10.647688538100692,20.823706548492282,11.828295841821372,10.102564102564102
17.98634754709156,24.982857495141694,15.772526693052455,10.153846153846153
14.302028061499843,28.166120260884597,16.18559111451209,10.205128205128204
15.262758190156166,29.68027912182905,16.54116916195858,10.256410256410255
11.579212815507391,31.277961834226346,11.85064466329334,10.307692307692308
10.767434729152908,32.07539129648226,10.75251026781466,10.35897435897436
9.530525614065049,32.13021403023502,9.33904196966364,10.41025641025641
10.542560043585965,32.671847623918715,7.27725863547306,10.461538461538462
13.817820950419602,33.639311619976084,10.388666850922075,10.512820512820513
9.534270246429744,33.52960511442828,7.046549418865693,10.564102564102564
10.241962271566035,34.2530454080068,8.378451507357182,10.615384615384615
8.086719755342202,32.66725923355989,7.674385041177256,10.666666666666666
8.275082167486968,33.27803271567953,8.930563741939405,10.717948717948717
9.437712470759028,33.33814643509476,9.982644115147375,10.76923076923077
8.987168879665576,33.1871988293334,10.635870910417633,10.820512820512821
10.314247332595274,33.27691956880113,12.800845883689693,10.871794871794872
9.091975924478788,32.30005924086034,13.229136065228849,10.923076923076923
8.587696298664708,32.50020552468348,13.379081659626342,10.974358974358974
11.465648768921554,32.928700153034306,12.143382483955948,11.025641025641026
9.774223699513465,33.78903712949477,12.46475291234547,11.076923076923077
10.067528204687925,33.39319088150951,9.922809541057141,11.128205128205128
8.575251813786544,32.97098681561006,9.66969347444686,11.179487179487179
9.455617275474818,32.82881224913477,9.33187205602757,11.23076923076923
10.110922589709865,33.43786963324537,6.90665562608134,11.282051282051281
8.849006422577697,33.5708842981016,6.733285449093794,11.333333333333334
10.375698018345672,33.2347389067876,7.19665613365836,11.384615384615385
9.399361310081195,33.520950951307995,7.518827696509719,11.435897435897436
9.708306250206723,33.51320444058962,8.004458355239535,11.487179487179487
9.398293387770604,33.943565603679176,10.034281487403007,11.538461538461538
11.852278184508938,33.409469375636746,10.689058072364343,11.58974358974359
9.986502775262066,33.22279748964684,12.466230691749772,11.64102564102564
8.9422890710441,33.059904166186705,12.39345743176856,11.692307692307692
10.822544912103188,32.41017544226463,13.758532888613589,11.743589743589745
8.779156350028977,32.83518294811753,12.2064495651852,18.102014549154223
10.208863595004756,33.11515569977222,11.602324998774582,15.23867061159262
8.040329876120225,33.18316571816178,11.030493681138111,17.082069755968202
8.67181395110157,33.110922436025675,8.760832769329749,17.20860074296637
10.196861235869124,32.46996033419276,8.350374210424647,17.781822871777308
